id,created_at,annotation_created_at,label
881379434120564736,2017-07-02 05:10:06+00:00,2020-11-11 11:24:38+00:00,positive
881447054156984320,2017-07-02 09:38:48+00:00,2020-11-11 11:24:11+00:00,positive
881448020465696768,2017-07-02 09:42:39+00:00,2020-11-11 11:24:58+00:00,negative
881481111041454081,2017-07-02 11:54:08+00:00,2020-11-11 11:28:02+00:00,negative
881517716527603712,2017-07-02 14:19:36+00:00,2020-11-11 11:24:38+00:00,neutral
881548110912270336,2017-07-02 16:20:22+00:00,2020-11-11 11:25:28+00:00,positive
881559979018379264,2017-07-02 17:07:32+00:00,2020-11-11 11:28:34+00:00,positive
881574166838878208,2017-07-02 18:03:54+00:00,2020-11-11 11:25:35+00:00,neutral
881631843291873280,2017-07-02 21:53:06+00:00,2020-11-11 11:24:29+00:00,positive
881690864010919936,2017-07-03 01:47:37+00:00,2020-11-11 11:24:28+00:00,positive
881832181563367424,2017-07-03 11:09:10+00:00,2020-11-11 11:25:22+00:00,neutral
881980098181836800,2017-07-03 20:56:56+00:00,2020-11-11 11:24:13+00:00,negative
882147142843990016,2017-07-04 08:00:43+00:00,2020-11-11 11:22:55+00:00,neutral
882152107423526912,2017-07-04 08:20:26+00:00,2020-11-11 11:25:00+00:00,neutral
882215443204845572,2017-07-04 12:32:07+00:00,2020-11-11 11:24:39+00:00,neutral
882219725895475200,2017-07-04 12:49:08+00:00,2020-11-11 11:24:20+00:00,positive
882234599924957187,2017-07-04 13:48:14+00:00,2020-11-11 11:24:32+00:00,neutral
882252194006872064,2017-07-04 14:58:09+00:00,2020-11-11 11:24:19+00:00,neutral
882331207429697536,2017-07-04 20:12:07+00:00,2020-11-11 11:24:23+00:00,neutral
882355312203898880,2017-07-04 21:47:54+00:00,2020-11-11 11:24:57+00:00,neutral
882389076082532353,2017-07-05 00:02:04+00:00,2020-11-11 11:23:51+00:00,negative
882539592750125060,2017-07-05 10:00:10+00:00,2020-11-11 11:26:16+00:00,positive
882543543297986561,2017-07-05 10:15:52+00:00,2020-11-11 11:24:43+00:00,neutral
882556227166720003,2017-07-05 11:06:16+00:00,2020-11-11 11:24:43+00:00,neutral
882618766051246082,2017-07-05 15:14:46+00:00,2020-11-11 11:26:35+00:00,neutral
882699250706075650,2017-07-05 20:34:35+00:00,2020-11-11 11:25:04+00:00,positive
882705566451290112,2017-07-05 20:59:41+00:00,2020-11-11 11:25:01+00:00,positive
882793287270191105,2017-07-06 02:48:15+00:00,2020-11-11 11:24:30+00:00,positive
882838586483257346,2017-07-06 05:48:16+00:00,2020-11-11 11:28:58+00:00,neutral
882852759980187649,2017-07-06 06:44:35+00:00,2020-11-11 11:25:27+00:00,positive
882882905378365443,2017-07-06 08:44:22+00:00,2020-11-11 11:25:02+00:00,neutral
882895122077274112,2017-07-06 09:32:55+00:00,2020-11-11 11:24:50+00:00,negative
882930206826086401,2017-07-06 11:52:20+00:00,2020-11-11 11:24:26+00:00,neutral
882947243795521536,2017-07-06 13:00:01+00:00,2020-11-11 11:24:29+00:00,neutral
882951334810578948,2017-07-06 13:16:17+00:00,2020-11-11 11:24:59+00:00,positive
883049653100531712,2017-07-06 19:46:58+00:00,2020-11-11 11:24:53+00:00,positive
883056236689670145,2017-07-06 20:13:07+00:00,2020-11-11 11:24:29+00:00,neutral
883098438530998273,2017-07-06 23:00:49+00:00,2020-11-11 11:24:37+00:00,positive
883113327097815046,2017-07-06 23:59:59+00:00,2020-11-11 11:25:54+00:00,positive
883246197737230336,2017-07-07 08:47:58+00:00,2020-11-11 11:25:52+00:00,neutral
883295509435211777,2017-07-07 12:03:54+00:00,2020-11-11 11:24:22+00:00,positive
883323056059494401,2017-07-07 13:53:22+00:00,2020-11-11 11:27:27+00:00,positive
883334771795009537,2017-07-07 14:39:55+00:00,2020-11-11 11:25:25+00:00,positive
883349653718282240,2017-07-07 15:39:03+00:00,2020-11-11 11:29:21+00:00,positive
883360727838453760,2017-07-07 16:23:04+00:00,2020-11-11 11:28:28+00:00,positive
883392719308996609,2017-07-07 18:30:11+00:00,2020-11-11 11:22:32+00:00,neutral
883633861749428224,2017-07-08 10:28:24+00:00,2020-11-11 11:28:54+00:00,neutral
883714063477473280,2017-07-08 15:47:06+00:00,2020-11-11 11:23:20+00:00,neutral
883716074889519104,2017-07-08 15:55:05+00:00,2020-11-11 11:24:23+00:00,neutral
883718052289945601,2017-07-08 16:02:57+00:00,2020-11-11 11:26:34+00:00,neutral
883817397534240768,2017-07-08 22:37:42+00:00,2020-11-11 11:22:21+00:00,positive
884022833214566401,2017-07-09 12:14:02+00:00,2020-11-11 11:25:13+00:00,positive
884046616868421633,2017-07-09 13:48:32+00:00,2020-11-11 11:24:49+00:00,neutral
884096636577861634,2017-07-09 17:07:18+00:00,2020-11-11 11:24:52+00:00,neutral
884132113834029057,2017-07-09 19:28:16+00:00,2020-11-11 11:24:04+00:00,positive
884133160199503873,2017-07-09 19:32:26+00:00,2020-11-11 11:25:14+00:00,positive
884176635964018688,2017-07-09 22:25:11+00:00,2020-11-11 11:24:00+00:00,neutral
884223877852876800,2017-07-10 01:32:55+00:00,2020-11-11 11:28:05+00:00,neutral
884349398901248000,2017-07-10 09:51:41+00:00,2020-11-11 11:25:01+00:00,neutral
884377419397857280,2017-07-10 11:43:02+00:00,2020-11-11 11:24:49+00:00,positive
884412100902359041,2017-07-10 14:00:51+00:00,2020-11-11 11:26:09+00:00,positive
884413073087508481,2017-07-10 14:04:42+00:00,2020-11-11 11:25:02+00:00,neutral
884546389853839366,2017-07-10 22:54:28+00:00,2020-11-11 11:22:50+00:00,neutral
884552412433928192,2017-07-10 23:18:23+00:00,2020-11-11 11:25:02+00:00,positive
884575453591285762,2017-07-11 00:49:57+00:00,2020-11-11 11:25:36+00:00,negative
884632363665436673,2017-07-11 04:36:05+00:00,2020-11-11 11:24:15+00:00,neutral
884696569295056896,2017-07-11 08:51:13+00:00,2020-11-11 11:22:37+00:00,positive
884711132480626689,2017-07-11 09:49:05+00:00,2020-11-11 11:24:02+00:00,positive
884732663453667329,2017-07-11 11:14:39+00:00,2020-11-11 11:24:36+00:00,neutral
884771313121845249,2017-07-11 13:48:13+00:00,2020-11-11 11:19:03+00:00,positive
884786643781255168,2017-07-11 14:49:09+00:00,2020-11-11 11:25:11+00:00,positive
884796986934874114,2017-07-11 15:30:15+00:00,2020-11-11 11:25:16+00:00,neutral
884802032460279809,2017-07-11 15:50:18+00:00,2020-11-11 11:24:11+00:00,positive
884806911094210561,2017-07-11 16:09:41+00:00,2020-11-11 11:20:07+00:00,positive
884822672177209344,2017-07-11 17:12:18+00:00,2020-11-11 11:24:45+00:00,neutral
884827452589056000,2017-07-11 17:31:18+00:00,2020-11-11 11:25:04+00:00,positive
884829279892238336,2017-07-11 17:38:34+00:00,2020-11-11 11:27:53+00:00,positive
884916857844715520,2017-07-11 23:26:34+00:00,2020-11-11 11:23:18+00:00,neutral
884921895149346816,2017-07-11 23:46:35+00:00,2020-11-11 11:24:23+00:00,neutral
884983916851015680,2017-07-12 03:53:02+00:00,2020-11-11 11:27:04+00:00,positive
884996994166513664,2017-07-12 04:45:00+00:00,2020-11-11 11:25:07+00:00,positive
884999034108354560,2017-07-12 04:53:06+00:00,2020-11-11 11:18:26+00:00,positive
885065473242664960,2017-07-12 09:17:07+00:00,2020-11-11 11:27:57+00:00,positive
885074740578308096,2017-07-12 09:53:56+00:00,2020-11-11 11:24:29+00:00,negative
885189870125297671,2017-07-12 17:31:25+00:00,2020-11-11 11:24:45+00:00,positive
885191711177224194,2017-07-12 17:38:44+00:00,2020-11-11 11:24:55+00:00,neutral
885203976009994240,2017-07-12 18:27:28+00:00,2020-11-11 11:25:34+00:00,neutral
885396003272216576,2017-07-13 07:10:31+00:00,2020-11-11 11:24:31+00:00,positive
885469083839467520,2017-07-13 12:00:55+00:00,2020-11-11 11:25:21+00:00,neutral
885471068156198913,2017-07-13 12:08:48+00:00,2020-11-11 11:24:44+00:00,neutral
885539646381404160,2017-07-13 16:41:18+00:00,2020-11-11 11:24:48+00:00,neutral
885561278957199360,2017-07-13 18:07:16+00:00,2020-11-11 11:25:07+00:00,negative
885697138411188224,2017-07-14 03:07:07+00:00,2020-11-11 11:22:28+00:00,positive
885822481063432193,2017-07-14 11:25:11+00:00,2020-11-11 11:24:17+00:00,neutral
885901449133256704,2017-07-14 16:38:59+00:00,2020-11-11 11:23:58+00:00,positive
885929225177280513,2017-07-14 18:29:21+00:00,2020-11-11 11:25:09+00:00,positive
885944300651122688,2017-07-14 19:29:15+00:00,2020-11-11 11:25:46+00:00,positive
885945997771264000,2017-07-14 19:36:00+00:00,2020-11-11 11:25:18+00:00,neutral
886055839789977600,2017-07-15 02:52:28+00:00,2020-11-11 11:24:33+00:00,neutral
886218009089626112,2017-07-15 13:36:53+00:00,2020-11-11 11:27:11+00:00,negative
886245235470323713,2017-07-15 15:25:04+00:00,2020-11-11 11:25:06+00:00,neutral
886296674154328064,2017-07-15 18:49:28+00:00,2020-11-11 11:25:45+00:00,positive
886303126122369026,2017-07-15 19:15:06+00:00,2020-11-11 11:24:20+00:00,neutral
886333075399094272,2017-07-15 21:14:07+00:00,2020-11-11 11:24:47+00:00,positive
886528013852176385,2017-07-16 10:08:44+00:00,2020-11-11 11:22:41+00:00,neutral
886580462751170560,2017-07-16 13:37:08+00:00,2020-11-11 11:24:27+00:00,positive
886639095866327040,2017-07-16 17:30:08+00:00,2020-11-11 11:25:04+00:00,neutral
886904457996505088,2017-07-17 11:04:35+00:00,2020-11-11 11:25:22+00:00,positive
886914160398921729,2017-07-17 11:43:08+00:00,2020-11-11 11:28:36+00:00,neutral
886993107467649024,2017-07-17 16:56:51+00:00,2020-11-11 11:28:22+00:00,neutral
886993317031944192,2017-07-17 16:57:40+00:00,2020-11-11 11:25:12+00:00,positive
887025684908040193,2017-07-17 19:06:18+00:00,2020-11-11 11:24:46+00:00,positive
887063963275468800,2017-07-17 21:38:24+00:00,2020-11-11 11:24:38+00:00,neutral
887069418358022145,2017-07-17 22:00:04+00:00,2020-11-11 11:20:24+00:00,positive
887114766451396616,2017-07-18 01:00:16+00:00,2020-11-11 11:25:50+00:00,positive
887131156700737537,2017-07-18 02:05:24+00:00,2020-11-11 11:20:49+00:00,positive
887401100751646721,2017-07-18 19:58:04+00:00,2020-11-11 11:25:42+00:00,negative
887650090629902337,2017-07-19 12:27:28+00:00,2020-11-11 11:25:18+00:00,neutral
887677010461569027,2017-07-19 14:14:26+00:00,2020-11-11 11:25:37+00:00,positive
887698718807470080,2017-07-19 15:40:41+00:00,2020-11-11 11:24:48+00:00,neutral
887699211080413184,2017-07-19 15:42:39+00:00,2020-11-11 11:25:50+00:00,positive
887814259798933504,2017-07-19 23:19:48+00:00,2020-11-11 11:24:11+00:00,neutral
887833856912613376,2017-07-20 00:37:41+00:00,2020-11-11 11:24:21+00:00,positive
887834845212139520,2017-07-20 00:41:36+00:00,2020-11-11 11:24:48+00:00,positive
887889194986594304,2017-07-20 04:17:34+00:00,2020-11-11 11:25:29+00:00,neutral
887943332323831808,2017-07-20 07:52:42+00:00,2020-11-11 11:24:23+00:00,positive
887983080853696513,2017-07-20 10:30:39+00:00,2020-11-11 11:24:11+00:00,positive
888005988116201472,2017-07-20 12:01:40+00:00,2020-11-11 11:25:25+00:00,positive
888071042924675072,2017-07-20 16:20:10+00:00,2020-11-11 11:24:15+00:00,neutral
888076453891518466,2017-07-20 16:41:40+00:00,2020-11-11 11:25:13+00:00,positive
888111027757260800,2017-07-20 18:59:03+00:00,2020-11-11 11:24:46+00:00,positive
888139971487571968,2017-07-20 20:54:04+00:00,2020-11-11 11:25:05+00:00,positive
888248574097604608,2017-07-21 04:05:37+00:00,2020-11-11 11:23:29+00:00,neutral
888292472345870336,2017-07-21 07:00:03+00:00,2020-11-11 11:25:41+00:00,negative
888300676044005376,2017-07-21 07:32:39+00:00,2020-11-11 11:24:52+00:00,positive
888306508244692992,2017-07-21 07:55:50+00:00,2020-11-11 11:25:05+00:00,neutral
888332247413207040,2017-07-21 09:38:06+00:00,2020-11-11 11:24:30+00:00,positive
888353108396584961,2017-07-21 11:01:00+00:00,2020-11-11 11:24:26+00:00,positive
888355878331711488,2017-07-21 11:12:00+00:00,2020-11-11 11:22:38+00:00,positive
888446687408082945,2017-07-21 17:12:51+00:00,2020-11-11 11:24:38+00:00,neutral
888449782133530624,2017-07-21 17:25:09+00:00,2020-11-11 11:16:43+00:00,neutral
888484930874900481,2017-07-21 19:44:49+00:00,2020-11-11 11:20:02+00:00,neutral
888486304161218561,2017-07-21 19:50:16+00:00,2020-11-11 11:25:31+00:00,positive
888486682026061824,2017-07-21 19:51:46+00:00,2020-11-11 11:25:19+00:00,positive
888491661529149440,2017-07-21 20:11:34+00:00,2020-11-11 11:25:23+00:00,positive
888517963925659649,2017-07-21 21:56:05+00:00,2020-11-11 11:25:37+00:00,neutral
888534211405152261,2017-07-21 23:00:38+00:00,2020-11-11 11:20:47+00:00,positive
888799764250214401,2017-07-22 16:35:51+00:00,2020-11-11 11:24:05+00:00,neutral
888801461219577856,2017-07-22 16:42:36+00:00,2020-11-11 11:27:18+00:00,positive
888841515858104320,2017-07-22 19:21:45+00:00,2020-11-11 11:25:20+00:00,neutral
888885551935311873,2017-07-22 22:16:44+00:00,2020-11-11 11:24:49+00:00,neutral
888966348314787841,2017-07-23 03:37:48+00:00,2020-11-11 11:26:25+00:00,neutral
889145638524526592,2017-07-23 15:30:14+00:00,2020-11-11 11:24:54+00:00,neutral
889165921692024832,2017-07-23 16:50:50+00:00,2020-11-11 11:19:11+00:00,neutral
889166744211701760,2017-07-23 16:54:06+00:00,2020-11-11 11:24:09+00:00,positive
889204188844089345,2017-07-23 19:22:53+00:00,2020-11-11 11:27:24+00:00,neutral
889214570136522752,2017-07-23 20:04:08+00:00,2020-11-11 11:25:15+00:00,neutral
889287385317605377,2017-07-24 00:53:29+00:00,2020-11-11 11:24:54+00:00,neutral
889322207113072641,2017-07-24 03:11:51+00:00,2020-11-11 11:25:08+00:00,neutral
889376380588142592,2017-07-24 06:47:07+00:00,2020-11-11 11:27:53+00:00,neutral
889490051251527680,2017-07-24 14:18:48+00:00,2020-11-11 11:25:10+00:00,positive
889490295292796928,2017-07-24 14:19:46+00:00,2020-11-11 11:24:34+00:00,positive
889492083618324480,2017-07-24 14:26:53+00:00,2020-11-11 11:24:56+00:00,positive
889504463135752192,2017-07-24 15:16:04+00:00,2020-11-11 11:25:27+00:00,neutral
889512696147828739,2017-07-24 15:48:47+00:00,2020-11-11 11:22:46+00:00,neutral
889514930264711169,2017-07-24 15:57:40+00:00,2020-11-11 11:21:41+00:00,positive
889590818507374593,2017-07-24 20:59:13+00:00,2020-11-11 11:25:09+00:00,neutral
889814317884899329,2017-07-25 11:47:19+00:00,2020-11-11 11:24:40+00:00,positive
889835335227777026,2017-07-25 13:10:50+00:00,2020-11-11 11:25:07+00:00,positive
889874783663476740,2017-07-25 15:47:36+00:00,2020-11-11 11:27:27+00:00,negative
889892610621546498,2017-07-25 16:58:26+00:00,2020-11-11 11:26:37+00:00,positive
889893014914555904,2017-07-25 17:00:02+00:00,2020-11-11 11:24:49+00:00,neutral
889894140611371009,2017-07-25 17:04:31+00:00,2020-11-11 11:24:46+00:00,positive
