created_at,2019-05-08,2018-08-11,2020-02-02,2019-08-06,2019-11-04,2020-05-02,2020-07-31,2019-02-07,2018-11-09
2006-03-26 00:00:00+00:00,0.6,0.6,-0.2,0.2,0.4,0.4,0.8,0.6,0.2
2006-04-09 00:00:00+00:00,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
2006-04-23 00:00:00+00:00,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2006-05-21 00:00:00+00:00,,,,,,,,,
2006-06-04 00:00:00+00:00,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2006-06-18 00:00:00+00:00,,,,,,,,,
2006-07-02 00:00:00+00:00,,,,,,,,,
2006-07-16 00:00:00+00:00,,,,,,,,,
2006-07-30 00:00:00+00:00,,,,,,,,,
2006-08-13 00:00:00+00:00,,,,,,,,,
2006-08-27 00:00:00+00:00,,,,,,,,,
2006-09-10 00:00:00+00:00,,,,,,,,,
2006-09-24 00:00:00+00:00,,,,,,,,,
2006-10-08 00:00:00+00:00,,,,,,,,,
2006-10-22 00:00:00+00:00,,,,,,,,,
2006-11-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-11-19 00:00:00+00:00,,,,,,,,,
2006-12-03 00:00:00+00:00,,,,,,,,,
2006-12-17 00:00:00+00:00,,,,,,,,,
2006-12-31 00:00:00+00:00,,,,,,,,,
2007-01-14 00:00:00+00:00,,,,,,,,,
2007-01-28 00:00:00+00:00,,,,,,,,,
2007-02-11 00:00:00+00:00,,,,,,,,,
2007-02-25 00:00:00+00:00,,,,,,,,,
2007-03-11 00:00:00+00:00,,,,,,,,,
2007-03-25 00:00:00+00:00,,,,,,,,,
2007-04-08 00:00:00+00:00,,,,,,,,,
2007-04-22 00:00:00+00:00,,,,,,,,,
2007-05-06 00:00:00+00:00,,,,,,,,,
2007-05-20 00:00:00+00:00,,,,,,,,,
2007-06-03 00:00:00+00:00,,,,,,,,,
2007-06-17 00:00:00+00:00,,,,,,,,,
2007-07-01 00:00:00+00:00,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2007-07-15 00:00:00+00:00,,,,,,,,,
2007-07-29 00:00:00+00:00,,,,,,,,,
2007-08-12 00:00:00+00:00,,,,,,,,,
2007-08-26 00:00:00+00:00,,,,,,,,,
2007-09-09 00:00:00+00:00,,,,,,,,,
2007-09-23 00:00:00+00:00,,,,,,,,,
2007-10-07 00:00:00+00:00,,,,,,,,,
2007-10-21 00:00:00+00:00,,,,,,,,,
2007-11-04 00:00:00+00:00,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0
2007-11-18 00:00:00+00:00,,,,,,,,,
2007-12-02 00:00:00+00:00,,,,,,,,,
2007-12-16 00:00:00+00:00,,,,,,,,,
2007-12-30 00:00:00+00:00,,,,,,,,,
2008-01-13 00:00:00+00:00,,,,,,,,,
2008-01-27 00:00:00+00:00,,,,,,,,,
2008-02-10 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-24 00:00:00+00:00,,,,,,,,,
2008-03-09 00:00:00+00:00,,,,,,,,,
2008-03-23 00:00:00+00:00,,,,,,,,,
2008-04-06 00:00:00+00:00,,,,,,,,,
2008-04-20 00:00:00+00:00,,,,,,,,,
2008-05-04 00:00:00+00:00,,,,,,,,,
2008-05-18 00:00:00+00:00,,,,,,,,,
2008-06-01 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-15 00:00:00+00:00,,,,,,,,,
2008-06-29 00:00:00+00:00,,,,,,,,,
2008-07-13 00:00:00+00:00,,,,,,,,,
2008-07-27 00:00:00+00:00,,,,,,,,,
2008-08-10 00:00:00+00:00,,,,,,,,,
2008-08-24 00:00:00+00:00,,,,,,,,,
2008-09-07 00:00:00+00:00,,,,,,,,,
2008-09-21 00:00:00+00:00,,,,,,,,,
2008-10-05 00:00:00+00:00,,,,,,,,,
2008-10-19 00:00:00+00:00,,,,,,,,,
2008-11-02 00:00:00+00:00,,,,,,,,,
2008-11-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2008-11-30 00:00:00+00:00,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2008-12-14 00:00:00+00:00,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-28 00:00:00+00:00,,,,,,,,,
2009-01-11 00:00:00+00:00,,,,,,,,,
2009-01-25 00:00:00+00:00,,,,,,,,,
2009-02-08 00:00:00+00:00,,,,,,,,,
2009-02-22 00:00:00+00:00,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2009-03-08 00:00:00+00:00,,,,,,,,,
2009-03-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-05 00:00:00+00:00,1.0,1.0,0.2,0.2,0.2,0.2,0.2,1.0,1.0
2009-04-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-05-03 00:00:00+00:00,0.5555555555555556,0.7777777777777778,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.4444444444444444,0.4444444444444444,0.5,0.7222222222222222
2009-05-17 00:00:00+00:00,0.3,0.65,0.2,0.3,0.2,0.3,0.3,0.2,0.3
2009-05-31 00:00:00+00:00,0.25,0.625,0.5,0.25,0.25,0.375,0.5,0.25,0.25
2009-06-14 00:00:00+00:00,0.6,0.4,0.4,0.4,0.4,0.8,1.0,0.0,0.0
2009-06-28 00:00:00+00:00,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
2009-07-12 00:00:00+00:00,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-07-26 00:00:00+00:00,0.14285714285714285,0.14285714285714285,-0.21428571428571427,0.0,-0.21428571428571427,-0.07142857142857142,-0.07142857142857142,0.14285714285714285,-0.07142857142857142
2009-08-09 00:00:00+00:00,0.0,0.1,0.2,0.0,-0.1,-0.1,-0.15,0.0,0.1
2009-08-23 00:00:00+00:00,0.0,0.5714285714285714,-0.7142857142857143,-0.7142857142857143,-0.7142857142857143,-0.2857142857142857,0.0,0.0,-0.7142857142857143
2009-09-06 00:00:00+00:00,0.5,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142
2009-09-20 00:00:00+00:00,0.26666666666666666,0.4,0.0,0.26666666666666666,-0.13333333333333333,0.0,0.13333333333333333,0.0,0.26666666666666666
